logFC	logCPM	LR	PValue	FDR
ACOT7	1.28515363755501	6.25868454453623	23.3087525186793	1.379707254562e-06	1.41583788394052e-05
ACOX2	-1.99479117667597	1.49315357932395	32.7395156294968	1.05373127541771e-08	1.72450007389367e-07
ACRBP	1.05913460870715	1.3148461028275	3.96037116967921	0.0465834307465779	0.0978695697399531
ACSF2	-1.1346213928248	3.77092308941945	17.2571885521274	3.26460060619811e-05	0.000227542146517316
ACSM3	-1.71039899666388	3.72947325148787	7.54136764304872	0.00602982560559811	0.0183938169430045
ACSS1	-1.23691445652961	6.18350363729024	17.5813113530595	2.75280416887627e-05	0.000194325951889313
ACTA2	-1.77477294200023	8.05316477492139	26.0171175914288	3.38403593818458e-07	3.99920532837599e-06
ACTG2	-2.96567488565335	7.73913848380787	42.7835100422644	6.11454215731675e-11	1.49321180801189e-09
ACTL6A	1.66030681417872	6.46629221093837	40.8895047567365	1.61083892916439e-10	3.73398670164972e-09
ACTL8	8.7284403545347	3.39340127417103	14.7043984572932	0.000125752700445119	0.000714975405108072
ACYP1	1.68384222919088	2.78247972567046	34.8134933347028	3.62849925209413e-09	6.55014767955478e-08
ADAM12	4.5206709000224	5.5463463430431	38.1261468289158	6.63154949360881e-10	1.36508847740912e-08
ADAM17	1.09581525982537	5.70878042358343	17.0771183964185	3.58921510118481e-05	0.000245259943620455
ADAM23	1.71962642015523	4.55600308895659	4.01711909353787	0.0450405885097003	0.0952175737924282
ADAM28	-2.24485183492984	4.45524060264801	27.2125748953849	1.82269322770058e-07	2.28891532844828e-06
ADAM33	-3.05731768481821	2.79025893023759	72.4436447101315	1.7187054135786e-17	1.45825543936707e-15
ADAM8	1.78234162776913	5.4967005273059	13.4944199558862	0.000239273921097918	0.00123808820158407
ADAMDEC1	4.19738559793066	2.75699883032348	32.6780251720397	1.0875988918209e-08	1.77045369118331e-07
ADAMTS12	3.18440035659965	3.92593840782719	23.6774086967497	1.13911908099986e-06	1.19377515091957e-05
ADAMTS13	-1.62524949806432	2.30727595145965	32.1336062083969	1.43926042874318e-08	2.29205805011872e-07
ADAMTS14	2.21444530060415	3.80713035107985	21.2250403196622	4.08393988539958e-06	3.61971590819983e-05
ADAMTS15	-2.03127886286678	2.57426729285436	23.3711367887537	1.335677133564e-06	1.37472959096836e-05
ADAMTS16	-1.25012366327814	1.06882757442239	4.64454170475648	0.0311524542830306	0.0708477465447066
ADAMTS1	-2.14608063040565	6.13549246754737	49.0999604074033	2.43245121501695e-12	7.87186412761966e-11
ADAMTS2	1.19142791217944	5.12886898823676	5.53271281594985	0.0186641455278428	0.0465671310474133
ADAMTS8	-4.11850079337203	2.13070109069764	98.5637703187057	3.14724777665579e-23	5.95099593883086e-21
ADAMTSL1	-3.13733930335528	3.41273192054876	62.1052604107908	3.25580530408812e-15	1.8900806581101e-13
ADAMTSL3	-2.77992096096934	3.01197382893665	46.4702432910037	9.30203820641377e-12	2.6308854339787e-10
ADAMTSL4	-1.54714532871298	5.60562261004553	20.2368608867436	6.84217686463761e-06	5.70296303402666e-05
ADARB1	-1.80135449472831	4.70783369982791	49.2082884461567	2.30176078837419e-12	7.54111529577246e-11
ADA	-1.20897703014238	4.17742375623079	17.5219531478673	2.84009356010681e-05	0.000199848369811662
ADCK5	1.05562261770075	3.91993684800414	16.5610965008391	4.71075252657563e-05	0.000307958402980015
ADCY1	-1.6430385573086	2.855459279435	20.8806850914474	4.88798607926916e-06	4.22858717288932e-05
ADCY2	-1.87466597007072	1.34445562585066	10.4962477784942	0.00119617207802748	0.00478035435530549
ADCY5	-3.41704525257753	3.94288854396413	52.8279374798755	3.64085480151452e-13	1.42575012286527e-11
ADCY6	-1.25297461965795	5.63153986660954	19.2154162145659	1.16766608057964e-05	9.1289003204679e-05
ADH1B	-3.18401516380106	3.17278727992619	21.8598954095344	2.93300151217288e-06	2.70719721165413e-05
ADH6	3.86428073518781	1.7033415747031	8.48227201340964	0.00358623936751073	0.0120140380329972
ADHFE1	-2.88562574004348	1.84010543482463	40.0524889115881	2.47229530928114e-10	5.51826318948485e-09
ADM	1.02874782941929	5.43927574868656	4.73910729495086	0.0294843669203268	0.0677291011033402
ADORA2B	1.71105212907037	3.97212255006658	11.3203739388014	0.000766612736906215	0.00328697317320721
ADRA2A	2.39962775915454	4.55444117209351	7.99941601229369	0.00467924388703861	0.0149636318165844
ADRB1	-1.35069270238632	1.45089598532218	8.80957063510331	0.00299654541768536	0.0103502805711074
AFF3	-3.13651528255401	2.52233354568498	62.4482368978175	2.73540585873748e-15	1.6163317833147e-13
AFP	11.0293276174722	3.72207403882577	4.38021618694455	0.0363583856473078	0.0803002824007619
AGMAT	3.36842224338307	3.49715451865978	24.2678784714624	8.38253756252534e-07	9.08691786876212e-06
AGRN	1.31257557986826	9.82281767412529	17.1031388157903	3.54037451465856e-05	0.00024330424234694
AGTRAP	1.34536699075008	5.55267515537644	22.4781592378254	2.12546590155283e-06	2.05147884954657e-05
AGT	2.16752230299235	5.2654157651211	5.38292761532125	0.0203347270099199	0.0498981176683908
AHCYL2	-1.16209480474259	6.34581270780116	11.163104322236	0.000834401850467782	0.00353638901466268
AHSG	8.62007280362619	1.35910297539656	9.12628785429004	0.00251962451224267	0.00895055019968974
AIF1L	-1.09207774421227	4.71984068487514	7.09542047872338	0.00772811591254704	0.0225605077676384
AIF1	1.01816974756785	3.40172990158603	6.89940823720201	0.00862242854538701	0.0246706580689024
AIFM3	2.75963562608375	0.868114109628459	23.2472435461876	1.42454475123595e-06	1.45600573956441e-05
AIM2	2.89500730728779	3.19675028250749	10.213776574837	0.00139395432908833	0.0054329739398743
AIMP2	1.22865684153492	4.63372371371541	26.467980571986	2.67942763268414e-07	3.23584891844957e-06
AJAP1	2.96461960586544	1.46962694896575	9.17558345249137	0.00245265165666617	0.00875600918506923
AK3	-1.02781196843235	6.64611678937887	39.4542541366677	3.35835306400547e-10	7.35946376741331e-09
AKAP12	-2.06382944598974	6.14194729751703	32.08681768487	1.4743432442024e-08	2.33172619020394e-07
AKAP6	-2.11007486571832	3.24153969990199	42.2556360199888	8.00888733060381e-11	1.93440935598307e-09
AKR7A3	-3.5658474000443	4.75064378617916	47.3670697324512	5.88632882646708e-12	1.75081906398019e-10
ALAD	-1.81040657606339	5.78562229729794	128.457004242054	8.9157865313009e-30	2.80974644114997e-27
ALDH1A1	-2.2647150262615	8.00679283198162	24.0908992420104	9.18935682924312e-07	9.88864447088309e-06
ALDH1A2	-1.48616725655973	1.48636104296231	4.503121770321	0.0338330336681349	0.0756442624377423
ALDH1B1	-1.25799604191287	5.76168857179715	18.273562001489	1.91344407851508e-05	0.00014054575928538
ALDH1L2	-1.2481201308969	4.77263024635857	11.1101910664023	0.000858546462826348	0.00362132599807825
ALDH6A1	-2.23574570299712	4.62714521896543	116.698925466204	3.3412732706779e-27	8.67158686484169e-25
ALDOB	-3.68321883287168	4.938452576998	21.5369165645532	3.47082471005832e-06	3.12296043091409e-05
ALG1L	3.17513456449632	2.55483637115784	24.3585598849622	7.99706000381631e-07	8.70469458968032e-06
ALG3	1.42025426229889	6.72238252989667	37.9024785240917	7.43706980700677e-10	1.51909036983861e-08
ALOX12	-1.69959618185519	3.83591326495702	8.12107731488686	0.00437535508166935	0.0141525415105023
ALOX15B	-1.30366418836124	3.71375358288009	4.23378514238772	0.0396269735998008	0.0859699430531
ALOX15	5.6547102500737	1.667184423822	11.5409866373804	0.000680785016861221	0.00297683200633469
ALPI	9.61624455588588	2.32705640938745	12.9379367352012	0.000321989704960879	0.00159440917877374
ALPK3	-1.31723622952731	4.58026739497882	11.2945532809077	0.000777348028995706	0.00332438724128826
ALPPL2	10.3042153373664	3.00409237769588	14.5590573449389	0.000135834112194464	0.000761499495555241
ALPP	9.15414031248701	1.87576050928202	14.308405481072	0.000155170457407977	0.000857551638518572
AMH	2.76017506053459	2.12070959613765	13.4894314287339	0.00023991087958373	0.00123992987199151
AMIGO2	1.4884913169795	4.97328227028046	9.35648540765567	0.00222197814772533	0.00805535545420227
AMMECR1	1.01800723295099	5.7014599525563	15.5634602995644	7.9781607598663e-05	0.000486182945753178
AMTN	4.60570888402175	3.49415423298732	5.60970644114789	0.0178612550236723	0.0449537120162248
AMT	-1.79526391063939	2.30089687149001	45.0154636693337	1.954846480382e-11	5.19565221171409e-10
ANGPT2	1.94039751153639	4.36169698705659	23.1164211321168	1.52482881974618e-06	1.54475725793347e-05
ANGPTL1	-3.63057708321021	2.23469385614567	71.9541174503736	2.20259699323606e-17	1.83355810078444e-15
ANK2	-2.93337282711588	3.95601607030288	58.1441229692643	2.43600851882627e-14	1.16822495489799e-12
ANKDD1A	-1.49056183873861	2.07724948343569	48.8403854169152	2.776632108719e-12	8.89866890823359e-11
ANKRD13B	1.05882633122829	4.53953346878882	10.0136482546282	0.00155384417430588	0.00595617766901612
ANKRD22	-1.59337056261485	5.26658108574758	21.0788209405166	4.40772965880563e-06	3.86362316317559e-05
ANKRD24	-1.59940718740743	0.925538181273425	15.9384831344812	6.54346915683295e-05	0.00040930698374216
ANKRD29	-1.15060635459401	2.96529773145634	7.02150970523564	0.00805362990421232	0.0233124502378806
ANLN	2.78315939256355	6.98519887926469	53.4155188371205	2.69955836038865e-13	1.08937056274708e-11
ANO1	2.16181823865596	8.6870724527127	11.4529655499803	0.000713799939578703	0.00309258788879336
ANO5	-2.27695906079998	2.73651664912304	21.4530635134606	3.62596246586711e-06	3.25157447142392e-05
ANO7	-2.3654343923474	2.11387493154598	38.9635804086183	4.31786084370629e-10	9.21793647214459e-09
ANP32E	1.35778084881413	6.46887440608716	33.3554570978304	7.67621185287585e-09	1.29100813322319e-07
ANPEP	5.21270780032955	8.0547784140759	19.5454760424101	9.82330869264111e-06	7.80908791926713e-05
ANTXR2	-1.08326717457436	6.07206240851225	12.3002160650842	0.00045290586080708	0.0021209938938923
ANXA10	-2.89163660305177	5.68281589841505	13.1872427667525	0.00028186128978251	0.00142393741662645
ANXA13	6.12784223305345	4.20500902691396	11.7716528980676	0.000601395525255957	0.00268196468068998
ANXA2	1.08730285153346	9.60841788656385	16.8572716145664	4.0298635523941e-05	0.000270483133770225
ANXA4	1.06554234515119	7.71488107612278	6.6947123294583	0.00966992700731192	0.0270766138922743
ANXA6	-1.19019087789213	5.94697227690713	17.6396494957392	2.66964174864496e-05	0.000189465834772465
AOAH	1.51898769512329	2.40462563309442	8.1621227200975	0.00427742782462335	0.0139003276913122
AOC3	-2.77196213382798	5.11247506266726	67.9975259956307	1.63700797821781e-16	1.17121284322654e-14
AOX1	-2.71893595742211	2.93288100188716	28.3437805678875	1.0157261044267e-07	1.34710929039998e-06
AP1S1	1.02210604665934	5.01086194126453	16.9956683375451	3.74651942796186e-05	0.000254302211017965
AP3M2	1.01777044293339	4.77595375391038	15.2664835906382	9.3358430673858e-05	0.000554868517467079
APBB1	-1.75287324603511	3.70882181134697	36.6542982473583	1.41047674767996e-09	2.74142000474183e-08
APC2	-1.48129087819179	2.18500903186606	18.1928491128026	1.99626959096541e-05	0.000146062047020553
APLN	1.59046855632627	3.29528574939466	7.57038759115557	0.00593350232160593	0.0181627744516134
APLP1	-3.87291353718405	4.44172364181557	89.1757854423581	3.61243677587425e-21	5.43343331425813e-19
APOA2	9.66951549112478	2.37924940680041	5.45180490349148	0.0195481206588708	0.0484076566961299
APOA4	10.0597342541766	2.7629109985261	5.42742162977956	0.0198229258966202	0.0489416614750355
APOBEC3B	2.33765095755026	3.87093361724627	21.9742107432507	2.76338788184039e-06	2.57216610436283e-05
APOBEC3F	1.30432294577498	3.31041262746761	15.4257882555665	8.58092609600366e-05	0.000516898240629501
APOBEC3G	1.51523631983281	3.68122492238349	12.7084915253753	0.000363998929410624	0.00177193447211439
APOB	6.13566885946686	7.34773905445194	5.1712477931811	0.0229637155172522	0.055182959075227
APOC1	3.93539577668745	4.26107953419968	34.244784405213	4.85976132424249e-09	8.53100807528827e-08
APOD	-1.2440261883325	5.38687168345778	5.01338849959876	0.025152029655823	0.0594486186650846
