Sample	Annotation	StemnessScore
TCGA-R6-A6XQ-01B	TP	0.832934520977672
TCGA-L5-A4OG-11A	NT	0.244442783934699
TCGA-LN-A49L-01A	TP	0.911875165082781
TCGA-Z6-A8JE-01A	TP	0.643062640024651
TCGA-JY-A93D-01A	TP	0.275297745278914
TCGA-LN-A4A8-01A	TP	0.604343026303788
TCGA-2H-A9GG-01A	TP	0.394628104956785
TCGA-L5-A4ON-01A	TP	0.605875282465451
TCGA-L5-A4OT-01A	TP	0.42968084406818
TCGA-LN-A4A2-01A	TP	0.649625678463879
TCGA-JY-A93E-01A	TP	0.425144749015494
TCGA-L5-A4OM-01A	TP	0.656852821518923
TCGA-IG-A4QS-01A	TP	0.79048420691786
TCGA-JY-A6F8-01A	TP	1
TCGA-X8-AAAR-01A	TP	0.453500351169939
TCGA-LN-A9FR-01A	TP	0.422505785375337
TCGA-L5-A88Z-01A	TP	0.632200544903779
TCGA-LN-A7HW-01A	TP	0.448462667591697
TCGA-R6-A8W5-01B	TP	0.872372109751546
TCGA-LN-A49V-01A	TP	0.948107847930377
TCGA-IG-A50L-01A	TP	0.658523978110459
TCGA-LN-A8I0-01A	TP	0.574234401351171
TCGA-LN-A9FQ-01A	TP	0.558913700746975
TCGA-L5-A4OJ-01A	TP	0.80361573740591
TCGA-V5-A7RB-01A	TP	0.777531712738365
TCGA-VR-A8EQ-01A	TP	0.812493363882877
TCGA-VR-A8EU-01A	TP	0.728769089598276
TCGA-V5-A7RC-01B	TP	0.679780617158772
TCGA-L5-A8NV-01A	TP	0.448898050031488
TCGA-LN-A49S-01A	TP	0.75243325978921
TCGA-L5-A88T-01A	TP	0.468055474119116
TCGA-LN-A9FP-01A	TP	0.16395656482904
TCGA-JY-A93C-01A	TP	0.577620406034782
TCGA-LN-A7HZ-01A	TP	0.82399047493767
TCGA-VR-AA4G-01A	TP	0.562886157781013
TCGA-L5-A4OS-01A	TP	0.646160683823522
TCGA-VR-AA4D-01A	TP	0.973812998085629
TCGA-V5-A7RE-01A	TP	0.950399789889854
TCGA-V5-AASV-01A	TP	0.79795746311635
TCGA-R6-A6KZ-01A	TP	0.655545991570558
TCGA-IG-A5S3-01A	TP	0.541312990422272
TCGA-IG-A3YA-01A	TP	0.397220108196269
